"Drug","Gene","Disease"
"Keselen","GRN","ALZHEIMER'S DISEASE"
"MA-1","GRN","ALZHEIMER'S DISEASE"
"LY2523355","GRN","ALZHEIMER'S DISEASE"
"RG-7597","GRN","ALZHEIMER'S DISEASE"
"Estromenin","GRN","ALZHEIMER'S DISEASE"
"Palestrol","GRN","ALZHEIMER'S DISEASE"
"GR-38032","GRN","ALZHEIMER'S DISEASE"
"SOMATULINE AUTOGEL","GRN","ALZHEIMER'S DISEASE"
"CHLORPROMAZINE TANNATE","GRN","ALZHEIMER'S DISEASE"
"Fonatol","GRN","ALZHEIMER'S DISEASE"
"Onapristone","GRN","ALZHEIMER'S DISEASE"
"Catapres-Tts-1","GRN","ALZHEIMER'S DISEASE"
"M3","GRN","ALZHEIMER'S DISEASE"
"PPI-149","GRN","ALZHEIMER'S DISEASE"
"Opddd","GRN","ALZHEIMER'S DISEASE"
"AV-203","GRN","ALZHEIMER'S DISEASE"
"TPI (FREEBASE)","GRN","ALZHEIMER'S DISEASE"
"ADENOSCAN","GRN","ALZHEIMER'S DISEASE"
"SAR-125844","GRN","ALZHEIMER'S DISEASE"
"FE200486 (AS ACETATE SALT)","GRN","ALZHEIMER'S DISEASE"
"Suprefact","GRN","ALZHEIMER'S DISEASE"
"Duligotumab","GRN","ALZHEIMER'S DISEASE"
"Stilbestrol","GRN","ALZHEIMER'S DISEASE"
"ZD1033","GRN","ALZHEIMER'S DISEASE"
"THEICAL D-3","GRN","ALZHEIMER'S DISEASE"
"O,P'-DDD","GRN","ALZHEIMER'S DISEASE"
"Golvatinib","GRN","ALZHEIMER'S DISEASE"
"PF-05082566","GRN","ALZHEIMER'S DISEASE"
"Oxandrin","GRN","ALZHEIMER'S DISEASE"
"ALDACTONE","GRN","ALZHEIMER'S DISEASE"
"WX-554","GRN","ALZHEIMER'S DISEASE"
"RU 23908","GRN","ALZHEIMER'S DISEASE"
"Histrelin","GRN","ALZHEIMER'S DISEASE"
"KERAL","GRN","ALZHEIMER'S DISEASE"
"Depo-Subq Provera 104","GRN","ALZHEIMER'S DISEASE"
"MEGESTROL","GRN","ALZHEIMER'S DISEASE"
"R3827","GRN","ALZHEIMER'S DISEASE"
"ICRUCUMAB","GRN","ALZHEIMER'S DISEASE"
"Saridegib","GRN","ALZHEIMER'S DISEASE"
"Telisotuzumab","GRN","ALZHEIMER'S DISEASE"
"LEVOBUPIVACAINE","GRN","ALZHEIMER'S DISEASE"
"Sulindac","GRN","ALZHEIMER'S DISEASE"
"SunVit-D3 20,000","GRN","ALZHEIMER'S DISEASE"
"TAMPOVAGAN","GRN","ALZHEIMER'S DISEASE"
"ZD-1694","GRN","ALZHEIMER'S DISEASE"
"TCD-717","GRN","ALZHEIMER'S DISEASE"
"Evacal D3","GRN","ALZHEIMER'S DISEASE"
"MORAB-004","GRN","ALZHEIMER'S DISEASE"
"Tribavirin","GRN","ALZHEIMER'S DISEASE"
"ERRIN","GRN","ALZHEIMER'S DISEASE"
"AGS-22M6E","GRN","ALZHEIMER'S DISEASE"
"BDH 1298","GRN","ALZHEIMER'S DISEASE"
"POLYESTRADIOL PHOSPHATE","GRN","ALZHEIMER'S DISEASE"
"FORTUNAN","GRN","ALZHEIMER'S DISEASE"
"Nilandron","GRN","ALZHEIMER'S DISEASE"
"Ertumaxomab","GRN","ALZHEIMER'S DISEASE"
"Bicalutamide","GRN","ALZHEIMER'S DISEASE"
"Haldol Solutab","GRN","ALZHEIMER'S DISEASE"
"Troxacitabine","GRN","ALZHEIMER'S DISEASE"
"FARLUTAL","GRN","ALZHEIMER'S DISEASE"
"17-1A","GRN","ALZHEIMER'S DISEASE"
"BIO-VITAMIN D3","GRN","ALZHEIMER'S DISEASE"
"Cubicole D3","GRN","ALZHEIMER'S DISEASE"
"Patidegib","GRN","ALZHEIMER'S DISEASE"
"LGD-1057","GRN","ALZHEIMER'S DISEASE"
"Largactil","GRN","ALZHEIMER'S DISEASE"
"FARLUTAL 500","GRN","ALZHEIMER'S DISEASE"
"CATUMAXOMAB","GRN","ALZHEIMER'S DISEASE"
"ESTROGENINE","GRN","ALZHEIMER'S DISEASE"
"SCH 13521","GRN","ALZHEIMER'S DISEASE"
"CALDRINK D3","GRN","ALZHEIMER'S DISEASE"
"CI-880","GRN","ALZHEIMER'S DISEASE"
"MEGACE ES","GRN","ALZHEIMER'S DISEASE"
"AD 32","GRN","ALZHEIMER'S DISEASE"
"MICRONOR HRT","GRN","ALZHEIMER'S DISEASE"
"FULTIUM DAILY D3","GRN","ALZHEIMER'S DISEASE"
"Refametinib","GRN","ALZHEIMER'S DISEASE"
"CHLORPROMAZINE PHENOLPHTHALINATE","GRN","ALZHEIMER'S DISEASE"
"Anastrozole","GRN","ALZHEIMER'S DISEASE"
"TIPIRACIL","GRN","ALZHEIMER'S DISEASE"
"DEPATUXIZUMAB MAFODOTIN","GRN","ALZHEIMER'S DISEASE"
"Degarelix","GRN","ALZHEIMER'S DISEASE"
"Diethylstilbestrol","GRN","ALZHEIMER'S DISEASE"
"VIRAZOLE","GRN","ALZHEIMER'S DISEASE"
"NESVACUMAB","GRN","ALZHEIMER'S DISEASE"
"VANTICTUMAB","GRN","ALZHEIMER'S DISEASE"
"Actilyse Cathflo","GRN","ALZHEIMER'S DISEASE"
"BGB-283","GRN","ALZHEIMER'S DISEASE"
"Amsacrine","GRN","ALZHEIMER'S DISEASE"
"Suprecur","GRN","ALZHEIMER'S DISEASE"
"Mitotane","GRN","ALZHEIMER'S DISEASE"
"Depo-Provera Oncology","GRN","ALZHEIMER'S DISEASE"
"JENCYCLA","GRN","ALZHEIMER'S DISEASE"
"TOREMIFENE","GRN","ALZHEIMER'S DISEASE"
"Utomilumab","GRN","ALZHEIMER'S DISEASE"
"REBASTINIB","GRN","ALZHEIMER'S DISEASE"
"Distilbene","GRN","ALZHEIMER'S DISEASE"
"RALTITREXED","GRN","ALZHEIMER'S DISEASE"
"Fosbretabulin","GRN","ALZHEIMER'S DISEASE"
"Naphazoline","GRN","ALZHEIMER'S DISEASE"
"RG-7334","GRN","ALZHEIMER'S DISEASE"
"SERENACE","GRN","ALZHEIMER'S DISEASE"
"ColeKal-D3","GRN","ALZHEIMER'S DISEASE"
"GSK-1070916","GRN","ALZHEIMER'S DISEASE"
"HMPL-813","GRN","ALZHEIMER'S DISEASE"
"Provera","GRN","ALZHEIMER'S DISEASE"
"Nphd3","GRN","ALZHEIMER'S DISEASE"
"Diethylstilbestrol Diphosphate","GRN","ALZHEIMER'S DISEASE"
"EMD-1204831","GRN","ALZHEIMER'S DISEASE"
"NATECAL D3","GRN","ALZHEIMER'S DISEASE"
"ORIMETEN","GRN","ALZHEIMER'S DISEASE"
"DLUX 400","GRN","ALZHEIMER'S DISEASE"
"MORAb-003","GRN","ALZHEIMER'S DISEASE"
"Dekristol","GRN","ALZHEIMER'S DISEASE"
"EULEXIN","GRN","ALZHEIMER'S DISEASE"
"Dolpin","GRN","ALZHEIMER'S DISEASE"
"Vigantoletten 500","GRN","ALZHEIMER'S DISEASE"
"Doxercalciferol","GRN","ALZHEIMER'S DISEASE"
"Ravoxertinib","GRN","ALZHEIMER'S DISEASE"
"BMS-777607","GRN","ALZHEIMER'S DISEASE"
"CHIMAX","GRN","ALZHEIMER'S DISEASE"
"VIGANTOL","GRN","ALZHEIMER'S DISEASE"
"GOSERELIN ACETATE","GRN","ALZHEIMER'S DISEASE"
"LITRONESIB","GRN","ALZHEIMER'S DISEASE"
"ADGYN MEDRO","GRN","ALZHEIMER'S DISEASE"
"FE-200486","GRN","ALZHEIMER'S DISEASE"
"ASCRINVACUMAB","GRN","ALZHEIMER'S DISEASE"
"ADCAL-D3","GRN","ALZHEIMER'S DISEASE"
"CB7630","GRN","ALZHEIMER'S DISEASE"
"R-1625","GRN","ALZHEIMER'S DISEASE"
"Combipatch","GRN","ALZHEIMER'S DISEASE"
"ACIFEROL D3","GRN","ALZHEIMER'S DISEASE"
"ESTINYL","GRN","ALZHEIMER'S DISEASE"
"SunVit-D3 400","GRN","ALZHEIMER'S DISEASE"
"ICI D1033","GRN","ALZHEIMER'S DISEASE"
"Edrecolomab","GRN","ALZHEIMER'S DISEASE"
"SUNVIT-D3 1,000","GRN","ALZHEIMER'S DISEASE"
"Nilotinib","GRN","ALZHEIMER'S DISEASE"
"Calcichew D3 Fte","GRN","ALZHEIMER'S DISEASE"
"Stilboesterol","GRN","ALZHEIMER'S DISEASE"
"Panretin","GRN","ALZHEIMER'S DISEASE"
"BI-811283","GRN","ALZHEIMER'S DISEASE"
"Clorpres","GRN","ALZHEIMER'S DISEASE"
"D-TRACETTEN","GRN","ALZHEIMER'S DISEASE"
"MENZOL","GRN","ALZHEIMER'S DISEASE"
"Stilbestroform","GRN","ALZHEIMER'S DISEASE"
"Valstar","GRN","ALZHEIMER'S DISEASE"
"CH5132799","GRN","ALZHEIMER'S DISEASE"
"Tasigna","GRN","ALZHEIMER'S DISEASE"
"POLYEST PHOS","GRN","ALZHEIMER'S DISEASE"
"NORETHIDRONE","GRN","ALZHEIMER'S DISEASE"
"TOCTINO","GRN","ALZHEIMER'S DISEASE"
"RO5520985","GRN","ALZHEIMER'S DISEASE"
"Adenocard","GRN","ALZHEIMER'S DISEASE"
"ARQ-736","GRN","ALZHEIMER'S DISEASE"
"Haldol","GRN","ALZHEIMER'S DISEASE"
"SC-11585","GRN","ALZHEIMER'S DISEASE"
"NORETHISTERONE","GRN","ALZHEIMER'S DISEASE"
"Desmethylondansetron","GRN","ALZHEIMER'S DISEASE"
"ANAVAR","GRN","ALZHEIMER'S DISEASE"
"MDV3100","GRN","ALZHEIMER'S DISEASE"
"AGS-22ME","GRN","ALZHEIMER'S DISEASE"
"Micronor","GRN","ALZHEIMER'S DISEASE"
"MEHD7945A","GRN","ALZHEIMER'S DISEASE"
"ABT-414","GRN","ALZHEIMER'S DISEASE"
"NORIDAY","GRN","ALZHEIMER'S DISEASE"
"PF-03446962","GRN","ALZHEIMER'S DISEASE"
"Ipafricept","GRN","ALZHEIMER'S DISEASE"
"NILUTAMIDE","GRN","ALZHEIMER'S DISEASE"
"LEO 114","GRN","ALZHEIMER'S DISEASE"
"D-VIT3","GRN","ALZHEIMER'S DISEASE"
"ICI-176334","GRN","ALZHEIMER'S DISEASE"
"COPEGUS","GRN","ALZHEIMER'S DISEASE"
"STILBOESTROL","GRN","ALZHEIMER'S DISEASE"
"Anadron","GRN","ALZHEIMER'S DISEASE"
"FLUTAMIDE","GRN","ALZHEIMER'S DISEASE"
"THORAZINE","GRN","ALZHEIMER'S DISEASE"
"DESUNIN","GRN","ALZHEIMER'S DISEASE"
"Norlutin","GRN","ALZHEIMER'S DISEASE"
"Activella","GRN","ALZHEIMER'S DISEASE"
"L19IL2","GRN","ALZHEIMER'S DISEASE"
"AGS-22CE","GRN","ALZHEIMER'S DISEASE"
"Arimidex","GRN","ALZHEIMER'S DISEASE"
"Dexketoprofen","GRN","ALZHEIMER'S DISEASE"
"Zytiga","GRN","ALZHEIMER'S DISEASE"
"Tomudex","GRN","ALZHEIMER'S DISEASE"
"HCBE-11","GRN","ALZHEIMER'S DISEASE"
"LG100057","GRN","ALZHEIMER'S DISEASE"
"CALCICHEW D3 ONCE DAILY","GRN","ALZHEIMER'S DISEASE"
"LYNORAL","GRN","ALZHEIMER'S DISEASE"
"Claudiximab","GRN","ALZHEIMER'S DISEASE"
"ZK-299","GRN","ALZHEIMER'S DISEASE"
"IMAB-362","GRN","ALZHEIMER'S DISEASE"
"Farlutal 200","GRN","ALZHEIMER'S DISEASE"
"ST-155BS","GRN","ALZHEIMER'S DISEASE"
"Hux D3","GRN","ALZHEIMER'S DISEASE"
"Drogenil","GRN","ALZHEIMER'S DISEASE"
"Sonazine","GRN","ALZHEIMER'S DISEASE"
"MK-2461","GRN","ALZHEIMER'S DISEASE"
"NCI-249992","GRN","ALZHEIMER'S DISEASE"
"AMN 107","GRN","ALZHEIMER'S DISEASE"
"SunVit-D3 5,000","GRN","ALZHEIMER'S DISEASE"
"MSC-2015103B","GRN","ALZHEIMER'S DISEASE"
"SC 10363","GRN","ALZHEIMER'S DISEASE"
"ALRT-1057","GRN","ALZHEIMER'S DISEASE"
"REMOVAB","GRN","ALZHEIMER'S DISEASE"
"Zofran","GRN","ALZHEIMER'S DISEASE"
"Incassia","GRN","ALZHEIMER'S DISEASE"
"POLYESTRADIOL PHOS PHOSPHATE","GRN","ALZHEIMER'S DISEASE"
"5071","GRN","ALZHEIMER'S DISEASE"
"KENTACE","GRN","ALZHEIMER'S DISEASE"
"Ro-4987655","GRN","ALZHEIMER'S DISEASE"
"CAMILA","GRN","ALZHEIMER'S DISEASE"
"Hectorol","GRN","ALZHEIMER'S DISEASE"
"ICI-118630","GRN","ALZHEIMER'S DISEASE"
"ASG-22ME","GRN","ALZHEIMER'S DISEASE"
"Protium","GRN","ALZHEIMER'S DISEASE"
"Apstil","GRN","ALZHEIMER'S DISEASE"
"Chlorpromazine Hibenzate","GRN","ALZHEIMER'S DISEASE"
"D-MAX","GRN","ALZHEIMER'S DISEASE"
"Estrobene","GRN","ALZHEIMER'S DISEASE"
"STILBETIN","GRN","ALZHEIMER'S DISEASE"
"DOZIC","GRN","ALZHEIMER'S DISEASE"
"SAR-260301","GRN","ALZHEIMER'S DISEASE"
"CAPTOPRIL","GRN","ALZHEIMER'S DISEASE"
"Lanreotide","GRN","ALZHEIMER'S DISEASE"
"Morphine","GRN","ALZHEIMER'S DISEASE"
"Utovlan","GRN","ALZHEIMER'S DISEASE"
"Catapres-Tts-3","GRN","ALZHEIMER'S DISEASE"
"AMINOGLUTETHIMIDE","GRN","ALZHEIMER'S DISEASE"
"TB-403","GRN","ALZHEIMER'S DISEASE"
"DEPO-PROVERA","GRN","ALZHEIMER'S DISEASE"
"FARLETUZUMAB","GRN","ALZHEIMER'S DISEASE"
"Larotrectinib","GRN","ALZHEIMER'S DISEASE"
"Megace","GRN","ALZHEIMER'S DISEASE"
"BUSERELIN","GRN","ALZHEIMER'S DISEASE"
"OXANDROLONE","GRN","ALZHEIMER'S DISEASE"
"Duraclon","GRN","ALZHEIMER'S DISEASE"
"AS-703988","GRN","ALZHEIMER'S DISEASE"
"Supprelin","GRN","ALZHEIMER'S DISEASE"
"ABIRATERONE ACETATE","GRN","ALZHEIMER'S DISEASE"
"ACTIVASE","GRN","ALZHEIMER'S DISEASE"
"HUMAX-IL8","GRN","ALZHEIMER'S DISEASE"
"ZOLADEX","GRN","ALZHEIMER'S DISEASE"
"Firmagon","GRN","ALZHEIMER'S DISEASE"
"Entolimod","GRN","ALZHEIMER'S DISEASE"
"SUNVIT-D3 10,000","GRN","ALZHEIMER'S DISEASE"
"Cacit D3","GRN","ALZHEIMER'S DISEASE"
"MSX-122","GRN","ALZHEIMER'S DISEASE"
"RG7221","GRN","ALZHEIMER'S DISEASE"
"SPIROSPARE 100","GRN","ALZHEIMER'S DISEASE"
"CB-313","GRN","ALZHEIMER'S DISEASE"
"VALSTAR PRESERVATIVE FREE","GRN","ALZHEIMER'S DISEASE"
"NEO-D","GRN","ALZHEIMER'S DISEASE"
"PANOREX","GRN","ALZHEIMER'S DISEASE"
"ST-155-BS","GRN","ALZHEIMER'S DISEASE"
"Zuplenz","GRN","ALZHEIMER'S DISEASE"
"GSK-1059615","GRN","ALZHEIMER'S DISEASE"
"RG-7842","GRN","ALZHEIMER'S DISEASE"
"ICI 118,630","GRN","ALZHEIMER'S DISEASE"
"ONTUXIZUMAB","GRN","ALZHEIMER'S DISEASE"
"ZK-98299","GRN","ALZHEIMER'S DISEASE"
"Valrubicin","GRN","ALZHEIMER'S DISEASE"
"Cosudex","GRN","ALZHEIMER'S DISEASE"
"ABIRATERONE","GRN","ALZHEIMER'S DISEASE"
"BRONTICTUZUMAB","GRN","ALZHEIMER'S DISEASE"
"TAK-700","GRN","ALZHEIMER'S DISEASE"
"OMP-18R5","GRN","ALZHEIMER'S DISEASE"
"CYREN A","GRN","ALZHEIMER'S DISEASE"
"M-AMSA","GRN","ALZHEIMER'S DISEASE"
"CYTADREN","GRN","ALZHEIMER'S DISEASE"
"ICI 176,334","GRN","ALZHEIMER'S DISEASE"
"Amsidyl","GRN","ALZHEIMER'S DISEASE"
"CALCEOS","GRN","ALZHEIMER'S DISEASE"
"Pro D3","GRN","ALZHEIMER'S DISEASE"
"Nastrosa","GRN","ALZHEIMER'S DISEASE"
"RWJ-17070","GRN","ALZHEIMER'S DISEASE"
"ABT-700","GRN","ALZHEIMER'S DISEASE"
"MK-8353","GRN","ALZHEIMER'S DISEASE"
"VB6-845","GRN","ALZHEIMER'S DISEASE"
"OSTEOCAPS D3","GRN","ALZHEIMER'S DISEASE"
"CLINORIL","GRN","ALZHEIMER'S DISEASE"
"Kf89617","GRN","ALZHEIMER'S DISEASE"
"ICI-46474","GRN","ALZHEIMER'S DISEASE"
"Estradurin","GRN","ALZHEIMER'S DISEASE"
"ZD-16","GRN","ALZHEIMER'S DISEASE"
"BXL 353","GRN","ALZHEIMER'S DISEASE"
"PF-03758309","GRN","ALZHEIMER'S DISEASE"
"ILX23-7553","GRN","ALZHEIMER'S DISEASE"
"Orteronel","GRN","ALZHEIMER'S DISEASE"
"REXOMUN","GRN","ALZHEIMER'S DISEASE"
"Nolvadex","GRN","ALZHEIMER'S DISEASE"
"RG-7440","GRN","ALZHEIMER'S DISEASE"
"REBETOL","GRN","ALZHEIMER'S DISEASE"
"Plenaxis","GRN","ALZHEIMER'S DISEASE"
"Goserelin","GRN","ALZHEIMER'S DISEASE"
"MCN-JR-1625","GRN","ALZHEIMER'S DISEASE"
"Synthestrin","GRN","ALZHEIMER'S DISEASE"
"GR-38032F","GRN","ALZHEIMER'S DISEASE"
"AV-412","GRN","ALZHEIMER'S DISEASE"
"SCH-900353","GRN","ALZHEIMER'S DISEASE"
"ACTILYSE","GRN","ALZHEIMER'S DISEASE"
"Duligotuzumab","GRN","ALZHEIMER'S DISEASE"
"GDC-0994","GRN","ALZHEIMER'S DISEASE"
"Somatuline LA","GRN","ALZHEIMER'S DISEASE"
"ILX7553","GRN","ALZHEIMER'S DISEASE"
"Ovaban","GRN","ALZHEIMER'S DISEASE"
"Muromonab-cd3","GRN","ALZHEIMER'S DISEASE"
"Abarelix","GRN","ALZHEIMER'S DISEASE"
"SYNESTRIN","GRN","ALZHEIMER'S DISEASE"
"Stivit-D3","GRN","ALZHEIMER'S DISEASE"
"CYCRIN","GRN","ALZHEIMER'S DISEASE"
"STILPHOSTROL","GRN","ALZHEIMER'S DISEASE"
"Catapres-Tts-2","GRN","ALZHEIMER'S DISEASE"
"Enfortumab vedotin","GRN","ALZHEIMER'S DISEASE"
"Nafazair","GRN","ALZHEIMER'S DISEASE"
"JNJ-38877605","GRN","ALZHEIMER'S DISEASE"
"CBLB502","GRN","ALZHEIMER'S DISEASE"
"Lysodren","GRN","ALZHEIMER'S DISEASE"
"AC-480","GRN","ALZHEIMER'S DISEASE"
"Vanucizumab","GRN","ALZHEIMER'S DISEASE"
"PRIMOLUT N","GRN","ALZHEIMER'S DISEASE"
"ORF-17070","GRN","ALZHEIMER'S DISEASE"
"Nor-Qd","GRN","ALZHEIMER'S DISEASE"
"Femhrt","GRN","ALZHEIMER'S DISEASE"
"Megaphen","GRN","ALZHEIMER'S DISEASE"
"C-1","GRN","ALZHEIMER'S DISEASE"
"Catapres","GRN","ALZHEIMER'S DISEASE"
"Fosfestrol","GRN","ALZHEIMER'S DISEASE"
"LOXO-101","GRN","ALZHEIMER'S DISEASE"
"Combipres","GRN","ALZHEIMER'S DISEASE"
"Kalumid","GRN","ALZHEIMER'S DISEASE"
"Casodex","GRN","ALZHEIMER'S DISEASE"
"OMP-54F28","GRN","ALZHEIMER'S DISEASE"
"AMG-337","GRN","ALZHEIMER'S DISEASE"
"NMS-1116354","GRN","ALZHEIMER'S DISEASE"
"E-6201","GRN","ALZHEIMER'S DISEASE"
"MP-412","GRN","ALZHEIMER'S DISEASE"
"Zofran Odt","GRN","ALZHEIMER'S DISEASE"
"Calutide","GRN","ALZHEIMER'S DISEASE"
"NEW-ESTRANOL 1","GRN","ALZHEIMER'S DISEASE"
"Ro-23-7553","GRN","ALZHEIMER'S DISEASE"
"Elmarin","GRN","ALZHEIMER'S DISEASE"
"HEATHER","GRN","ALZHEIMER'S DISEASE"
"PF-04217903","GRN","ALZHEIMER'S DISEASE"
"BAY-86-9766","GRN","ALZHEIMER'S DISEASE"
"CH-4987655","GRN","ALZHEIMER'S DISEASE"
"BMS-599626","GRN","ALZHEIMER'S DISEASE"
"RDEA-119","GRN","ALZHEIMER'S DISEASE"
"Soltamox","GRN","ALZHEIMER'S DISEASE"
"IPI-926","GRN","ALZHEIMER'S DISEASE"
"Tesevatinib","GRN","ALZHEIMER'S DISEASE"
"Equine Chorionic Gonadotropin","GRN","ALZHEIMER'S DISEASE"
"AN-152","GRN","ALZHEIMER'S DISEASE"
"FERTIRAL LH-RH","GRN","ALZHEIMER'S DISEASE"
"Elocon","GRN","ALZHEIMER'S DISEASE"
"Mometasone Furoate","GRN","ALZHEIMER'S DISEASE"
"RAD-1901","GRN","ALZHEIMER'S DISEASE"
"IMMU-132","GRN","ALZHEIMER'S DISEASE"
"CR-011-vcMMAE","GRN","ALZHEIMER'S DISEASE"
"ZAFIRLUKAST","GRN","ALZHEIMER'S DISEASE"
"ACOLBIFENE","GRN","ALZHEIMER'S DISEASE"
"Glembatumumab","GRN","ALZHEIMER'S DISEASE"
"ESTRATAB","GRN","ALZHEIMER'S DISEASE"
"Nardil","GRN","ALZHEIMER'S DISEASE"
"Asmanex Twisthaler","GRN","ALZHEIMER'S DISEASE"
"Thyrolar-3","GRN","ALZHEIMER'S DISEASE"
"Netupitant","GRN","ALZHEIMER'S DISEASE"
"Zyprexa","GRN","ALZHEIMER'S DISEASE"
"RINTATOLIMOD","GRN","ALZHEIMER'S DISEASE"
"LY-22288220","GRN","ALZHEIMER'S DISEASE"
"DURAGESIC-100","GRN","ALZHEIMER'S DISEASE"
"SCH-32088","GRN","ALZHEIMER'S DISEASE"
"Binosto","GRN","ALZHEIMER'S DISEASE"
"Metosyn Fapg","GRN","ALZHEIMER'S DISEASE"
"MAXIMET SR","GRN","ALZHEIMER'S DISEASE"
"FLUOCINONIDE EMULSIFIED BASE","GRN","ALZHEIMER'S DISEASE"
"MARGETUXIMAB","GRN","ALZHEIMER'S DISEASE"
"Pardelprin MR","GRN","ALZHEIMER'S DISEASE"
"Ampligen","GRN","ALZHEIMER'S DISEASE"
"INDO-PAED","GRN","ALZHEIMER'S DISEASE"
"Lidex","GRN","ALZHEIMER'S DISEASE"
"MOBILAN","GRN","ALZHEIMER'S DISEASE"
"SLO-INDO","GRN","ALZHEIMER'S DISEASE"
"Asmanex hfa","GRN","ALZHEIMER'S DISEASE"
"ZOSTRIX HP","GRN","ALZHEIMER'S DISEASE"
"ANADIN LIQUIFAST","GRN","ALZHEIMER'S DISEASE"
"Riker 52G","GRN","ALZHEIMER'S DISEASE"
"Compro","GRN","ALZHEIMER'S DISEASE"
"Junior Strength Motrin","GRN","ALZHEIMER'S DISEASE"
"Fempatch","GRN","ALZHEIMER'S DISEASE"
"Dihydrotheelin","GRN","ALZHEIMER'S DISEASE"
"Indocid-R","GRN","ALZHEIMER'S DISEASE"
"Berlind 75 Ret","GRN","ALZHEIMER'S DISEASE"
"VENLADEX XL","GRN","ALZHEIMER'S DISEASE"
"MOMETASONE","GRN","ALZHEIMER'S DISEASE"
"DERMESTRIL 25","GRN","ALZHEIMER'S DISEASE"
"Lidifen","GRN","ALZHEIMER'S DISEASE"
"FLUOCINONIDE","GRN","ALZHEIMER'S DISEASE"
"Indolar SR","GRN","ALZHEIMER'S DISEASE"
"STX-64","GRN","ALZHEIMER'S DISEASE"
"ZOPTARELIN DOXORUBICIN","GRN","ALZHEIMER'S DISEASE"
"Bazedoxifene","GRN","ALZHEIMER'S DISEASE"
"Vanos","GRN","ALZHEIMER'S DISEASE"
"Dermestril Septem 25","GRN","ALZHEIMER'S DISEASE"
"INDOMETACIN FARNESIL","GRN","ALZHEIMER'S DISEASE"
"Seribantumab","GRN","ALZHEIMER'S DISEASE"
"INDOLAR","GRN","ALZHEIMER'S DISEASE"
"FOSAMAX","GRN","ALZHEIMER'S DISEASE"
"Crofelemer","GRN","ALZHEIMER'S DISEASE"
"Rathyronine","GRN","ALZHEIMER'S DISEASE"
"hMN-14","GRN","ALZHEIMER'S DISEASE"
"BRE-3","GRN","ALZHEIMER'S DISEASE"
"Brilanestrant","GRN","ALZHEIMER'S DISEASE"
"CHORIONIC GONADOTROPIN","GRN","ALZHEIMER'S DISEASE"
"Euthroid-2","GRN","ALZHEIMER'S DISEASE"
"NASONEX","GRN","ALZHEIMER'S DISEASE"
"AEZS-108","GRN","ALZHEIMER'S DISEASE"
"Hemay-022","GRN","ALZHEIMER'S DISEASE"
"CHORAGON","GRN","ALZHEIMER'S DISEASE"
"ARN-810","GRN","ALZHEIMER'S DISEASE"
"Testopatch","GRN","ALZHEIMER'S DISEASE"
"AS-1402","GRN","ALZHEIMER'S DISEASE"
"PROCHLORPERAZINE MESILATE","GRN","ALZHEIMER'S DISEASE"
"ANDROID-F","GRN","ALZHEIMER'S DISEASE"
"LEDMECIN","GRN","ALZHEIMER'S DISEASE"
"TamoGel","GRN","ALZHEIMER'S DISEASE"
"Indo-Lemmon","GRN","ALZHEIMER'S DISEASE"
"Amnestrogen","GRN","ALZHEIMER'S DISEASE"
"FENTANYL-87","GRN","ALZHEIMER'S DISEASE"
"ELLESTE SOLO MX 80","GRN","ALZHEIMER'S DISEASE"
"INDODERM","GRN","ALZHEIMER'S DISEASE"
"Atrophate","GRN","ALZHEIMER'S DISEASE"
"Gonadotropin, Chorionic","GRN","ALZHEIMER'S DISEASE"
"CEA-CIDE","GRN","ALZHEIMER'S DISEASE"
"Estraderm MX 100","GRN","ALZHEIMER'S DISEASE"
"INOVEN","GRN","ALZHEIMER'S DISEASE"
"SCH-57068","GRN","ALZHEIMER'S DISEASE"
"ODANACATIB","GRN","ALZHEIMER'S DISEASE"
"RO 67-3189/000","GRN","ALZHEIMER'S DISEASE"
"FLEXIMEX","GRN","ALZHEIMER'S DISEASE"
"Rheuflex 500","GRN","ALZHEIMER'S DISEASE"
"BRUFEN RET","GRN","ALZHEIMER'S DISEASE"
"Ranfaxine XL","GRN","ALZHEIMER'S DISEASE"
"Artracin Sr","GRN","ALZHEIMER'S DISEASE"
"INDOFLEX","GRN","ALZHEIMER'S DISEASE"
"Ibuderm","GRN","ALZHEIMER'S DISEASE"
"FEMOGEN","GRN","ALZHEIMER'S DISEASE"
"Triostat","GRN","ALZHEIMER'S DISEASE"
"INDOMOD","GRN","ALZHEIMER'S DISEASE"
"Sacituzumab govitecan","GRN","ALZHEIMER'S DISEASE"
"Rimafen","GRN","ALZHEIMER'S DISEASE"
"Nurofen 400","GRN","ALZHEIMER'S DISEASE"
"INDOCID RET","GRN","ALZHEIMER'S DISEASE"
"Flexin-75 Continus","GRN","ALZHEIMER'S DISEASE"
"Rilutek","GRN","ALZHEIMER'S DISEASE"
"Follutein","GRN","ALZHEIMER'S DISEASE"
"ESMYA","GRN","ALZHEIMER'S DISEASE"
"Evista","GRN","ALZHEIMER'S DISEASE"
"ELLA","GRN","ALZHEIMER'S DISEASE"
"Ora-Testryl","GRN","ALZHEIMER'S DISEASE"
"Indocin","GRN","ALZHEIMER'S DISEASE"
"A.P.L.","GRN","ALZHEIMER'S DISEASE"
"Aprotinin","GRN","ALZHEIMER'S DISEASE"
"Proflex","GRN","ALZHEIMER'S DISEASE"
"Fluoxymesterone","GRN","ALZHEIMER'S DISEASE"
"IBUTIME","GRN","ALZHEIMER'S DISEASE"
